Date,Price,Open,High,Low,Vol.,Change %
07-03-2024,"1,446.10","1,445.50","1,451.05","1,441.40",24.67M,0.24%
06-03-2024,"1,442.60","1,433.55","1,452.85","1,433.55",21.20M,0.12%
05-03-2024,"1,440.85","1,422.00","1,443.00","1,421.65",19.00M,0.57%
04-03-2024,"1,432.70","1,430.95","1,437.00","1,424.30",17.81M,0.14%
02-03-2024,"1,430.75","1,431.30","1,433.65","1,428.35",895.27K,0.00%
01-03-2024,"1,430.75","1,400.00","1,432.75","1,400.00",17.37M,1.95%
29-02-2024,"1,403.40","1,402.10","1,410.40","1,397.30",26.65M,-0.43%
28-02-2024,"1,409.40","1,420.15","1,424.20","1,404.00",12.66M,-0.76%
27-02-2024,"1,420.15","1,413.55","1,426.70","1,413.05",16.04M,-0.15%
26-02-2024,"1,422.30","1,413.55","1,434.85","1,413.55",11.75M,0.12%
23-02-2024,"1,420.60","1,422.55","1,433.90","1,418.00",14.92M,0.07%
22-02-2024,"1,419.55","1,417.75","1,428.80","1,412.20",25.28M,-1.36%
21-02-2024,"1,439.15","1,464.00","1,464.00","1,435.00",22.95M,-1.04%
20-02-2024,"1,454.30","1,415.00","1,457.25","1,411.80",28.07M,2.63%
19-02-2024,"1,417.10","1,429.00","1,429.00","1,415.20",17.23M,-0.20%
16-02-2024,"1,419.90","1,423.90","1,427.70","1,408.45",16.09M,0.41%
15-02-2024,"1,414.05","1,385.00","1,415.50","1,384.35",20.79M,2.17%
14-02-2024,"1,384.05","1,376.00","1,391.50","1,363.55",45.66M,-0.75%
13-02-2024,"1,394.45","1,391.95","1,404.35","1,384.35",28.79M,0.32%
12-02-2024,"1,390.00","1,399.65","1,413.65","1,383.35",17.22M,-0.97%
09-02-2024,"1,403.60","1,392.15","1,414.20","1,387.00",28.32M,0.04%
08-02-2024,"1,403.05","1,429.85","1,438.95","1,400.50",34.55M,-1.88%
07-02-2024,"1,429.95","1,453.00","1,453.80","1,426.65",27.42M,-0.98%
06-02-2024,"1,444.10","1,445.55","1,449.70","1,432.60",20.54M,-0.05%
05-02-2024,"1,444.85","1,446.00","1,451.90","1,434.05",19.30M,-0.09%
02-02-2024,"1,446.15","1,475.00","1,480.85","1,442.05",22.43M,-1.38%
01-02-2024,"1,466.35","1,465.05","1,473.60","1,456.05",16.35M,0.26%
31-01-2024,"1,462.55","1,439.50","1,474.95","1,436.80",32.88M,1.26%
30-01-2024,"1,444.30","1,454.55","1,463.20","1,440.90",20.86M,-0.71%
29-01-2024,"1,454.65","1,448.05","1,462.80","1,445.80",32.82M,1.38%
25-01-2024,"1,434.90","1,452.50","1,457.35","1,419.40",49.47M,-1.44%
