Trend,Start Date,End Date,Profit
UP,2013-12-31,2014-01-07,-477.4399999999987
DOWN,2014-01-07,2014-01-08,-36.13999999999942
UP,2014-01-08,2014-01-09,-16.010000000002037
DOWN,2014-01-09,2014-01-13,-420.84000000000015
UP,2014-01-13,2014-01-14,-101.32999999999811
DOWN,2014-01-14,2014-01-15,-256.6100000000006
UP,2014-01-15,2014-01-17,-225.87000000000262
DOWN,2014-01-17,2014-01-23,-310.0400000000009
UP,2014-01-23,2014-01-30,-875.4099999999999
DOWN,2014-01-30,2014-01-31,-15.599999999998545
UP,2014-01-31,2014-02-03,-304.59000000000015
DOWN,2014-02-03,2014-02-07,-167.3000000000029
UP,2014-02-07,2014-02-10,-42.29000000000087
DOWN,2014-02-10,2014-02-12,-114.22000000000116
UP,2014-02-12,2014-02-13,-255.14000000000306
DOWN,2014-02-13,2014-02-19,-529.6200000000026
UP,2014-02-19,2014-02-20,-186.33000000000175
DOWN,2014-02-20,2014-02-28,-583.4799999999996
UP,2014-02-28,2014-03-03,-173.46999999999753
DOWN,2014-03-03,2014-03-10,-988.1800000000003
UP,2014-03-10,2014-03-11,-108.41000000000349
DOWN,2014-03-11,2014-03-12,-29.80000000000291
UP,2014-03-12,2014-03-13,-81.61000000000058
DOWN,2014-03-13,2014-03-19,-58.25
UP,2014-03-19,2014-03-20,-92.77000000000044
DOWN,2014-03-20,2014-03-24,-315.3899999999994
UP,2014-03-24,2014-03-25,-0.27000000000043656
DOWN,2014-03-25,2014-04-02,-496.2800000000025
UP,2014-04-02,2014-04-07,-208.04000000000087
DOWN,2014-04-07,2014-04-10,-371.880000000001
UP,2014-04-10,2014-04-16,-438.1000000000022
DOWN,2014-04-16,2014-04-21,-487.6000000000022
UP,2014-04-21,2014-04-22,-6.460000000002765
DOWN,2014-04-22,2014-04-23,-118.17000000000189
UP,2014-04-23,2014-05-02,-472.65000000000146
DOWN,2014-05-02,2014-05-06,-104.52999999999884
UP,2014-05-06,2014-05-07,-184.5199999999968
DOWN,2014-05-07,2014-05-13,-1547.329999999998
UP,2014-05-13,2014-05-14,-56.11000000000058
DOWN,2014-05-14,2014-05-20,-561.760000000002
UP,2014-05-20,2014-05-21,-78.86000000000058
DOWN,2014-05-21,2014-05-26,-418.8600000000006
