Date,Price,Open,High,Low,Vol.,Change %,RSI,Target
2024-12-18,1810.7,1829.85,1836.0,1807.15,11710000.0,-1.23%,54.849405913235685,0
2024-12-19,1793.5,1799.6,1801.1,1779.0,12690000.0,-0.95%,49.34699103713189,0
2024-12-20,1771.5,1782.2,1797.55,1767.05,12850000.0,-1.23%,42.04218600191755,1
2024-12-23,1801.0,1782.0,1806.0,1781.3,5520000.0,1.67%,44.15704387990764,0
2024-12-24,1798.1,1802.05,1808.7,1789.55,7240000.0,-0.16%,33.29741379310347,0
2024-12-26,1790.75,1798.55,1812.0,1780.75,5240000.0,-0.41%,29.97864388681262,1
2024-12-27,1798.25,1794.8,1805.95,1789.1,3630000.0,0.42%,34.424012979989215,0
2024-12-30,1777.9,1792.2,1815.0,1771.0,11110000.0,-1.13%,25.90266875981162,0
2024-12-31,1772.85,1770.3,1781.8,1765.6,7060000.0,-0.28%,25.48262548262548,1
2025-01-01,1782.75,1773.45,1794.0,1761.1,3660000.0,0.56%,29.826763745920204,1
2025-01-02,1793.75,1777.1,1803.45,1773.0,9280000.0,0.62%,34.125060591371806,0
2025-01-03,1749.2,1791.0,1795.25,1746.3,12210000.0,-2.48%,24.29200755191947,0
2025-01-06,1710.5,1740.1,1757.2,1705.8,9410000.0,-2.21%,21.404805914972286,1
2025-01-07,1713.4,1715.0,1721.0,1700.0,6760000.0,0.17%,25.181196935183323,0
2025-01-08,1694.3,1708.25,1711.65,1683.35,9870000.0,-1.11%,25.54621848739498,0
2025-01-09,1667.8,1684.15,1689.0,1658.1,20210000.0,-1.56%,24.585523655479207,0
2025-01-10,1656.75,1671.0,1674.9,1654.0,8730000.0,-0.66%,25.72456103236729,0
2025-01-13,1630.85,1640.0,1646.75,1624.3,10830000.0,-1.56%,13.447905477980726,1
2025-01-14,1646.6,1639.9,1656.2,1637.0,13330000.0,0.97%,19.157166123778552,0
2025-01-15,1643.05,1656.5,1662.7,1636.3,7010000.0,-0.22%,19.458229942100942,1
2025-01-16,1652.05,1652.85,1660.55,1642.85,10610000.0,0.55%,19.954788327168146,0
2025-01-17,1636.75,1643.5,1650.5,1628.5,11560000.0,-0.93%,20.37775445960129,1
2025-01-20,1651.25,1626.0,1660.95,1626.0,8780000.0,0.89%,25.454178441663345,0
2025-01-21,1642.4,1658.25,1661.05,1633.05,15580000.0,-0.54%,21.54875329414152,1
2025-01-22,1666.05,1642.4,1671.9,1625.45,15310000.0,1.44%,25.37601234091784,0
2025-01-23,1664.9,1687.0,1687.0,1651.25,17450000.0,-0.07%,30.477072718851318,0
2025-01-24,1649.8,1660.0,1670.3,1644.5,12120000.0,-0.91%,34.217368694747776,0
2025-01-27,1629.8,1641.1,1643.6,1626.0,11400000.0,-1.21%,30.03820439350521,1
2025-01-28,1670.4,1647.0,1684.3,1647.0,15090000.0,2.49%,44.82459939367694,1
2025-01-29,1677.3,1675.0,1681.15,1668.85,6310000.0,0.41%,52.2479886417416,1
2025-01-30,1691.5,1681.0,1697.9,1672.55,12870000.0,0.85%,58.10212170669154,1
2025-01-31,1698.75,1687.25,1704.7,1683.95,7910000.0,0.43%,67.33912155260475,0
2025-02-01,1690.95,1697.5,1713.0,1676.05,2790000.0,-0.46%,61.80463135480442,0
2025-02-03,1678.0,1670.0,1686.8,1663.45,10140000.0,-0.77%,58.85931558935363,1
2025-02-04,1720.9,1688.7,1725.8,1680.05,14310000.0,2.56%,64.89292667099289,1
2025-02-05,1737.8,1733.0,1744.2,1718.9,11840000.0,0.98%,71.70784103114931,1
2025-02-06,1743.85,1735.5,1749.0,1724.0,13380000.0,0.35%,70.64199732501115,0
2025-02-07,1732.75,1750.0,1767.0,1725.0,11750000.0,-0.64%,69.9404105054072,0
2025-02-10,1715.75,1717.3,1723.45,1708.5,8600000.0,-0.98%,61.30059117780811,0
2025-02-11,1701.4,1703.0,1711.0,1688.7,11360000.0,-0.84%,57.829257829257834,1
