Date,Price,Open,High,Low,Vol.,Change(%)
13-Feb-24,366.5,366,369.8,354.1,2719522,0.71%
12-Feb-24,363.9,358.4,366.25,351.2,5777513,1.66%
09-Feb-24,357.95,357.15,362,345,5257247,1.68%
08-Feb-24,352.05,350,368.7,343.75,17258388,4.39%
07-Feb-24,337.25,331.7,342.4,329.25,6414327,2.20%
06-Feb-24,330,342.45,344.85,329.15,2308551,-2.90%
05-Feb-24,339.85,348.95,349.55,336.3,2074851,-2.31%
02-Feb-24,347.9,336.15,351.9,336.15,7042693,4.15%
01-Feb-24,334.05,358.5,360,321.95,6299102,-4.61%
31-Jan-24,350.2,368,379.2,347.75,7522247,-4.68%
30-Jan-24,367.4,361.35,370.25,358.2,2508283,3.51%
29-Jan-24,354.95,356,359.3,350.1,1462470,0.00%
25-Jan-24,354.95,361.55,366.2,354,930473,-1.81%
24-Jan-24,361.5,353.15,365,351.25,2124510,2.66%
23-Jan-24,352.15,363.35,363.35,343,2550212,-2.56%
20-Jan-24,361.4,365,366.4,361,586923,-0.88%
19-Jan-24,364.6,365.15,370.25,362.55,1391457,0.73%
18-Jan-24,361.95,363,367.95,352.2,1550854,-0.06%
17-Jan-24,362.15,365.3,375.9,357.3,2670645,-1.56%
16-Jan-24,367.9,386.2,386.2,363.3,2463512,-4.38%
15-Jan-24,384.75,391.8,391.8,378,2492467,-1.19%
12-Jan-24,389.4,392.25,395,385.55,1777386,-0.33%
11-Jan-24,390.7,382.2,393,380.75,2157983,2.78%
10-Jan-24,380.15,384.05,392.9,376.15,3090700,-0.56%
09-Jan-24,382.3,376.35,386.7,374.85,3539948,2.67%
08-Jan-24,372.35,360.05,375,359,3287702,4.08%
05-Jan-24,357.75,370,379.75,350.1,5025301,-1.66%
04-Jan-24,363.8,361,364.95,355.35,1562063,1.17%
03-Jan-24,359.6,363.05,366.6,355.6,1674304,-0.85%
02-Jan-24,362.7,362.25,370,351.45,4853351,0.11%
01-Jan-24,362.3,355.15,364.9,351.05,2369504,2.32%
29-Dec-23,354.1,346.65,359.85,338.2,2482256,2.50%
28-Dec-23,345.45,355,362,343,2346425,-1.90%
27-Dec-23,352.15,346,357,334.7,3992940,2.58%
26-Dec-23,343.3,335.8,345,335.8,2761293,2.88%
22-Dec-23,333.7,330,339,329.6,2134358,1.99%
21-Dec-23,327.2,319.05,331.8,314.25,2103078,1.54%
20-Dec-23,322.25,316.05,339.2,316.05,7379104,2.17%
19-Dec-23,315.4,318.15,319.3,313.8,725958,-0.43%
18-Dec-23,316.75,318.4,319.9,312.2,809898,0.17%
15-Dec-23,316.2,326.25,327.4,313,2187579,-2.47%
14-Dec-23,324.2,322.75,329,321.35,2218087,1.41%
13-Dec-23,319.7,316.55,321.75,311.05,3561076,1.51%
12-Dec-23,314.95,319.95,324.05,314,1205077,-1.04%
11-Dec-23,318.25,324.9,325.35,317.25,1348140,-1.65%
08-Dec-23,323.6,321.9,327,320.05,1778201,0.53%
07-Dec-23,321.9,329,329.55,321.15,1455356,-1.81%
06-Dec-23,327.85,337.65,339,326.55,1586350,-2.76%
05-Dec-23,337.15,338,341,335,1616735,0.31%
04-Dec-23,336.1,340,341,332.5,1635011,0.37%
01-Dec-23,334.85,324.9,337.35,324.05,2897214,3.00%
30-Nov-23,325.1,322.45,332.75,304.1,2077262,1.07%
29-Nov-23,321.65,329.3,329.3,320.05,1101596,-1.71%
28-Nov-23,327.25,330,332.45,323.5,1827071,-0.59%
24-Nov-23,329.2,329.25,334.85,328.05,1035428,0.09%
23-Nov-23,328.9,332.8,333,327,1493358,-1.28%
22-Nov-23,333.15,335,341,327.75,3613610,-0.02%
21-Nov-23,333.2,315.5,335,308.05,6520123,6.18%
20-Nov-23,313.8,319.95,320.3,312.35,1885583,-1.04%
17-Nov-23,317.1,316,320.6,314.1,3018971,1.15%
16-Nov-23,313.5,329.8,331.65,306.95,6635212,-4.94%
15-Nov-23,329.8,345,348,326,4132958,-2.19%
13-Nov-23,337.2,338.05,343,333.6,2751773,-0.25%
12-Nov-23,338.05,341.9,343.2,333.5,1157491,-0.13%
10-Nov-23,338.5,337.8,341.9,330,2785367,0.71%
09-Nov-23,336.1,351.05,359.15,320.75,7825148,-3.39%
08-Nov-23,347.9,339.8,351.8,339,5078257,3.25%
07-Nov-23,336.95,323.8,339.3,318.4,5246015,4.84%
06-Nov-23,321.4,308,324.25,307.05,5973345,5.50%
03-Nov-23,304.65,300.2,306,293,3519839,2.18%
02-Nov-23,298.15,302.75,303,297,1947076,0.27%
01-Nov-23,297.35,289,302.5,286.15,4354929,3.00%
31-Oct-23,288.7,292.8,292.8,286.8,1376013,-0.88%
30-Oct-23,291.25,288.45,293.95,280.25,3060863,1.32%
27-Oct-23,287.45,290,292.4,285.1,2901300,0.54%
26-Oct-23,285.9,293.7,293.7,278.1,5741348,-2.67%
25-Oct-23,293.75,289.75,299.3,282.25,5307028,2.23%
23-Oct-23,287.35,301.45,303.4,280.05,4753278,-4.25%
20-Oct-23,300.1,303.9,309,296,3239429,-1.38%
19-Oct-23,304.3,302,307.6,265.65,5773942,1.03%
18-Oct-23,301.2,299.4,309.75,296.05,5533379,2.21%
17-Oct-23,294.7,289.55,297.8,285.85,4394866,3.82%
16-Oct-23,283.85,275.15,289,275.15,5172227,3.44%
13-Oct-23,274.4,273,276.6,267,3113658,-0.05%
12-Oct-23,274.55,272.2,277.7,272.15,3818635,1.24%
11-Oct-23,271.2,267.05,272.9,265.9,5920245,3.49%
10-Oct-23,262.05,256.8,267.8,255.45,6066813,4.30%
09-Oct-23,251.25,257.25,260.7,241.5,6668843,-2.67%
06-Oct-23,258.15,239.7,261,239.7,14774304,10.13%
05-Oct-23,234.4,228,235.75,227.9,2580122,3.53%
04-Oct-23,226.4,225.45,231.25,224.5,1533191,-1.42%
03-Oct-23,229.65,228,231.75,221.65,2800584,0.92%
29-Sep-23,227.55,225.2,231.9,225.2,1902262,1.47%
28-Sep-23,224.25,224.8,225.55,220.55,4216317,0.02%
27-Sep-23,224.2,217.2,227.3,215.6,5748219,3.53%
26-Sep-23,216.55,205.85,217.9,205.55,4963007,6.05%
25-Sep-23,204.2,216.85,216.9,202.8,4224660,-5.33%
22-Sep-23,215.7,213.5,218.85,210.05,2133466,1.22%
21-Sep-23,213.1,219.2,220.2,211.8,3587595,-2.76%
